P3P5P13P9P18P16P25P23P29P32P36P27P40P43P46P50P7P21P37P49P2P19P31P45P11P39P6P22P34P12P26P48P20P42P14P33P8P38P17P44P28P10P35P30P24P1P47P15P41P4
P3: (Response=0, Turnaround=4, Delay=0)
P5: (Response=3, Turnaround=5, Delay=3)
P13: (Response=0, Turnaround=1, Delay=0)
P9: (Response=3, Turnaround=6, Delay=3)
P18: (Response=0, Turnaround=2, Delay=0)
P16: (Response=4, Turnaround=8, Delay=4)
P25: (Response=0, Turnaround=1, Delay=0)
P23: (Response=3, Turnaround=6, Delay=3)
P29: (Response=1, Turnaround=3, Delay=1)
P32: (Response=1, Turnaround=4, Delay=1)
P36: (Response=0, Turnaround=1, Delay=0)
P27: (Response=9, Turnaround=13, Delay=9)
P40: (Response=2, Turnaround=6, Delay=2)
P43: (Response=3, Turnaround=5, Delay=3)
P46: (Response=2, Turnaround=5, Delay=2)
P50: (Response=1, Turnaround=2, Delay=1)
P7: (Response=38, Turnaround=43, Delay=38)
P21: (Response=33, Turnaround=38, Delay=33)
P37: (Response=25, Turnaround=30, Delay=25)
P49: (Response=18, Turnaround=23, Delay=18)
P2: (Response=60, Turnaround=66, Delay=60)
P19: (Response=56, Turnaround=62, Delay=56)
P31: (Response=52, Turnaround=58, Delay=52)
P45: (Response=45, Turnaround=51, Delay=45)
P11: (Response=79, Turnaround=86, Delay=79)
P39: (Response=64, Turnaround=71, Delay=64)
P6: (Response=96, Turnaround=104, Delay=96)
P22: (Response=93, Turnaround=101, Delay=93)
P34: (Response=91, Turnaround=99, Delay=91)
P12: (Response=116, Turnaround=125, Delay=116)
P26: (Response=115, Turnaround=124, Delay=115)
P48: (Response=104, Turnaround=113, Delay=104)
P20: (Response=138, Turnaround=148, Delay=138)
P42: (Response=129, Turnaround=139, Delay=129)
P14: (Response=162, Turnaround=173, Delay=162)
P33: (Response=158, Turnaround=169, Delay=158)
P8: (Response=188, Turnaround=200, Delay=188)
P38: (Response=177, Turnaround=189, Delay=177)
P17: (Response=206, Turnaround=219, Delay=206)
P44: (Response=196, Turnaround=209, Delay=196)
P28: (Response=223, Turnaround=237, Delay=223)
P10: (Response=250, Turnaround=265, Delay=250)
P35: (Response=246, Turnaround=261, Delay=246)
P30: (Response=265, Turnaround=281, Delay=265)
P24: (Response=286, Turnaround=303, Delay=286)
P1: (Response=318, Turnaround=336, Delay=318)
P47: (Response=301, Turnaround=319, Delay=301)
P15: (Response=346, Turnaround=365, Delay=346)
P41: (Response=344, Turnaround=363, Delay=344)
P4: (Response=391, Turnaround=411, Delay=391)
